subject,idna_subject,expiration_date,epoch
123stat.com,123stat.com,19-aug-2024,1724025600.0
5thavenue.com,5thavenue.com,06-may-2028,1841184000.0
888.com,888.com,14-feb-2023,1676332800.0
888casino.com,888casino.com,28-jun-2023,1687910400.0
888poker.com,888poker.com,08-oct-2023,1696723200.0
961.com,961.com,13-may-2023,1683936000.0
abetterinternet.com,abetterinternet.com,14-aug-2024,1723593600.0
acglgoa.com,acglgoa.com,18-oct-2028,1855440000.0
adadvisor.net,adadvisor.net,08-apr-2024,1712534400.0
adform.com,adform.com,16-jul-2023,1689465600.0
adhese.com,adhese.com,04-apr-2025,1743724800.0
adjug.com,adjug.com,14-aug-2024,1723593600.0
admedia.com,admedia.com,27-apr-2029,1871942400.0
adstogo.com,adstogo.com,11-dec-2024,1733875200.0
advertise.com,advertise.com,26-oct-2026,1792972800.0
alexxe.com,alexxe.com,02-jan-2027,1798848000.0
amazon-adsystem.com,amazon-adsystem.com,16-sep-2024,1726444800.0
anatol.com,anatol.com,09-jul-2025,1752019200.0
assoc-amazon.com,assoc-amazon.com,16-jul-2024,1721088000.0
bannerbackup.com,bannerbackup.com,22-feb-2024,1708560000.0
bet-at-home.com,bet-at-home.com,04-oct-2028,1854230400.0
bet365.com,bet365.com,04-aug-2025,1754265600.0
bongacams.com,bongacams.com,25-jan-2024,1706140800.0
cahoots.com,cahoots.com,23-nov-2024,1732320000.0
casalemedia.com,casalemedia.com,19-oct-2023,1697673600.0
cashcounter.com,cashcounter.com,17-jan-2024,1705449600.0
classicjack.com,classicjack.com,17-jul-2024,1721174400.0
clickmeter.com,clickmeter.com,17-jul-2027,1815782400.0
clickthruserver.com,clickthruserver.com,12-jun-2024,1718150400.0
clicktripz.com,clicktripz.com,08-feb-2023,1675814400.0
conduit.com,conduit.com,21-apr-2029,1871424000.0
connexity.net,connexity.net,06-jan-2024,1704499200.0
contextweb.com,contextweb.com,16-mar-2023,1678924800.0
convertro.com,convertro.com,09-feb-2024,1707436800.0
cuntwars.com,cuntwars.com,28-feb-2024,1709078400.0
dgit.com,dgit.com,16-may-2024,1715817600.0
didtheyreadit.com,didtheyreadit.com,10-sep-2025,1757462400.0
digimedia.com,digimedia.com,30-jul-2024,1722297600.0
eyewonder.com,eyewonder.com,23-dec-2024,1734912000.0
feedjit.com,feedjit.com,06-oct-2023,1696550400.0
flu23.com,flu23.com,18-feb-2026,1771372800.0
getmyads.com,getmyads.com,04-dec-2025,1764806400.0
inklineglobal.com,inklineglobal.com,03-feb-2023,1675382400.0
iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com,iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com,12-may-2024,1715472000.0
kissmetrics.com,kissmetrics.com,28-sep-2027,1822089600.0
kontera.com,kontera.com,23-oct-2025,1761177600.0
loboclick.com,loboclick.com,12-dec-2024,1733961600.0
lockerdome.com,lockerdome.com,10-sep-2024,1725926400.0
marketaff.com,marketaff.com,15-aug-2024,1723680000.0
miercuri.gq,miercuri.gq,24-jan-2026,1769212800.0
ml314.com,ml314.com,22-apr-2027,1808352000.0
mysagagame.com,mysagagame.com,21-feb-2023,1676937600.0
nextgenstats.com,nextgenstats.com,20-sep-2027,1821398400.0
outbrain.com,outbrain.com,09-aug-2023,1691539200.0
partycasino.com,partycasino.com,27-apr-2024,1714176000.0
perfectgirls.net,perfectgirls.net,19-sep-2027,1821312000.0
popupdomination.com,popupdomination.com,08-jul-2023,1688774400.0
shafou.com,shafou.com,05-nov-2025,1762300800.0
shockgore.com,shockgore.com,09-may-2023,1683590400.0
simpli.fi,simpli.fi,15-mar-2024,1710460800.0
siteimproveanalytics.com,siteimproveanalytics.com,26-feb-2024,1708905600.0
smutstone.com,smutstone.com,22-aug-2023,1692662400.0
spotxchange.com,spotxchange.com,08-jun-2024,1717804800.0
systweak.com,systweak.com,28-sep-2025,1759017600.0
tradedoubler.com,tradedoubler.com,10-oct-2023,1696896000.0
tradetracker.net,tradetracker.net,21-dec-2025,1766275200.0
traktum.com,traktum.com,18-jan-2028,1831766400.0
tsyndicate.com,tsyndicate.com,28-may-2028,1843084800.0
turn.com,turn.com,01-apr-2024,1711929600.0
v2profit.com,v2profit.com,17-jul-2023,1689552000.0
visualwebsiteoptimizer.com,visualwebsiteoptimizer.com,13-nov-2023,1699833600.0
voluumtrk.com,voluumtrk.com,06-aug-2024,1722902400.0
voluumtrk3.com,voluumtrk3.com,29-apr-2025,1745884800.0
yotube.com,yotube.com,14-aug-2026,1786665600.0
zeroredirect2.com,zeroredirect2.com,15-feb-2024,1707955200.0
1priest1nun.net,1priest1nun.net,16-may-2023,1684195200.0
2girls1cup.cc,2girls1cup.cc,18-oct-2023,1697587200.0
32red.it,32red.it,27-oct-2023,1698364800.0
7x.cc,7x.cc,02-mar-2024,1709337600.0
7zip.fr,7zip.fr,03-jan-2024,1704240000.0
aaa-arcobaleno.it,aaa-arcobaleno.it,07-oct-2023,1696636800.0
aarth.net,aarth.net,08-apr-2023,1680912000.0
abruzzoinitaly.co.uk,abruzzoinitaly.co.uk,08-jan-2024,1704672000.0
academy-internet.net,academy-internet.net,25-may-2023,1684972800.0
actu24.online,actu24.online,06-may-2023,1683331200.0
ad-srv.net,ad-srv.net,24-jan-2024,1706054400.0
ad-vice.biz,ad-vice.biz,28-feb-2024,1709078400.0
ad.net,ad.net,08-mar-2023,1678233600.0
ad20.net,ad20.net,01-mar-2024,1709251200.0
